씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,3.00,대법원장을,"텍스트 그래픽 - ""대법원장 국감 증인?"" 큰 글자가 화면 중앙에서 확대되며 등장"
1,2,00:00:01:00,00:00:03:00,1.00,2.00,,국감에 세운다고요?,
2,3,00:00:03:00,00:00:04:00,3.00,1.00,7.00,더불어민주당 지도부는,흐름: 조희대 대법원장 논란 전개 / 대법관 재제청 거부 > 대법원 앞 규탄대회 > 사퇴 촉구 + 사진(대법원): 대법원 청사 전경
2,4,00:00:04:00,00:00:06:00,4.00,2.00,,어제 대법원 앞에서,
2,5,00:00:06:00,00:00:07:00,6.00,1.00,,규탄대회를 열고,
2,6,00:00:07:00,00:00:08:00,7.00,1.00,,조희대 대법원장의,
2,7,00:00:08:00,00:00:10:00,8.00,2.00,,사퇴를 촉구했습니다,
3,8,00:00:10:00,00:00:11:00,10.00,1.00,6.00,국민의힘 장동혁 대표는,비교: 여야 입장 / 민주당: 사퇴 촉구 | 국민의힘: 지켜야 한다
3,9,00:00:11:00,00:00:13:00,11.00,2.00,,국민이 대법원장을,
3,10,00:00:13:00,00:00:14:00,13.00,1.00,,지킬 거라고 말하며,
3,11,00:00:14:00,00:00:16:00,14.00,2.00,,반발했습니다,
4,12,00:00:16:00,00:00:17:00,16.00,1.00,6.00,이용우 민주당 대변인은,"인용문 카드 그래픽 - ""쿠데타적 행태"" 문구가 타이핑되듯 등장, '이용우 대변인' 라벨 표시"
4,13,00:00:17:00,00:00:19:00,17.00,2.00,,대법원장의 행태를,
4,14,00:00:19:00,00:00:20:00,19.00,1.00,,'쿠데타적 행태'라며,
4,15,00:00:20:00,00:00:22:00,20.00,2.00,,비판했습니다,
5,16,00:00:22:00,00:00:23:00,22.00,1.00,7.00,법제사법위원회는,큰 숫자: 대법원 국정감사 / 10월 6일 / 조희대 대법원장 증인 채택 예정 / 출처: 뉴시스
5,17,00:00:23:00,00:00:24:00,23.00,1.00,,10월 6일 대법원,
5,18,00:00:24:00,00:00:26:00,24.00,2.00,,국정감사에 조 대법원장을,
5,19,00:00:26:00,00:00:27:00,26.00,1.00,,일반 증인으로,
5,20,00:00:27:00,00:00:29:00,27.00,2.00,,부를 예정입니다,
6,21,00:00:29:00,00:00:30:00,29.00,1.00,6.00,국민의힘은,"체크: 국민의힘 반발 논리 / 사법부 독립성, 수십 년 관행 훼손"
6,22,00:00:30:00,00:00:31:00,30.00,1.00,,사법부 독립성을 이유로,
6,23,00:00:31:00,00:00:33:00,31.00,2.00,,대법원장 증인 채택은,
6,24,00:00:33:00,00:00:34:00,33.00,1.00,,관행에 어긋난다며,
6,25,00:00:34:00,00:00:35:00,34.00,1.00,,반발하고 있습니다,
7,26,00:00:35:00,00:00:36:00,35.00,1.00,6.00,김민석 민주당 대표는,"목록: 민주당 내 거론 절차 / 국정조사, 특검, 신중론 병존"
7,27,00:00:36:00,00:00:37:00,36.00,1.00,,국정조사와 특검 등,
7,28,00:00:37:00,00:00:38:00,37.00,1.00,,여러 절차가 있을 수,
7,29,00:00:38:00,00:00:39:00,38.00,1.00,,있다고 말했지만,
7,30,00:00:39:00,00:00:40:00,39.00,1.00,,당내 신중론도,
7,31,00:00:40:00,00:00:41:00,40.00,1.00,,전해졌습니다,
8,32,00:00:41:00,00:00:43:00,41.00,2.00,4.00,추석 연휴 뒤엔,흐름: 앞으로 일정 / 대법원 국정감사 > 법사위 긴급현안질의
8,33,00:00:43:00,00:00:44:00,43.00,1.00,,법사위 현안질의도,
8,34,00:00:44:00,00:00:45:00,44.00,1.00,,예정입니다,
9,35,00:00:45:00,00:00:46:00,45.00,1.00,5.00,여야의 공방이,"텍스트 그래픽 마무리 - ""정기국회 내내 이어질 전망"" 문구가 화면 중앙에서 페이드인"
9,36,00:00:46:00,00:00:48:00,46.00,2.00,,정기국회 내내,
9,37,00:00:48:00,00:00:50:00,48.00,2.00,,이어질 전망입니다,
10,38,00:00:50:00,00:00:53:00,50.00,3.00,6.00,"10월 6일 국감, 어떻게",마무리 — 채널 로고 + 다음 브리핑 안내
10,39,00:00:53:00,00:00:56:00,53.00,3.00,,될지 다음 영상에서 확인하세요,
