컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:01:00,0.00,1.00,법사위 회의장에서,국회 법제사법위원회 회의실 외경 스톡 영상,
2,00:00:01:00,00:00:03:00,1.00,2.00,12분 만에 무슨 일이,회의실 문 클로즈업 + 큰 숫자: 퇴장까지 걸린 시간 / 12분 / 법사위 전체회의 시작 후 / 출처: 동아일보,
3,00:00:03:00,00:00:04:00,3.00,1.00,있었을까요,같은 화면 유지,
4,00:00:04:00,00:00:05:00,4.00,1.00,국민의힘 의원들이,국회 본관 복도 스톡 영상,
5,00:00:05:00,00:00:07:00,5.00,2.00,회의장을 떠났습니다,복도 스톡 + 자막 카드 '퇴장',img-0-cover.png
6,00:00:07:00,00:00:09:00,7.00,2.00,코로나19 신약 임상시험,자막 카드: '코로나19 신약 임상시험 청탁 의혹',img-2-stat-card.png
7,00:00:09:00,00:00:11:00,9.00,2.00,청탁 의혹을 이유로,동일 자막 카드 유지,img-3-poll-chart.png
8,00:00:11:00,00:00:13:00,11.00,2.00,김승원 법무부 장관 후보자,법무부 청사 외경 스톡 + 자막 카드 '김승원 법무부 장관 후보자',img-stat-card.png
9,00:00:13:00,00:00:15:00,13.00,2.00,지명 철회를 요구했지만,동일 화면 유지,
10,00:00:15:00,00:00:17:00,15.00,2.00,받아들여지지 않았습니다,국회 본회의장 스톡 영상,
11,00:00:17:00,00:00:19:00,17.00,2.00,민주당은 남은 의원들과,국회 회의실 스톡 영상,
12,00:00:19:00,00:00:21:00,19.00,2.00,청문보고서를 단독으로,동일 화면 유지,
13,00:00:21:00,00:00:22:00,21.00,1.00,채택했습니다,자막 카드 '단독 채택',img-0-cover.png
14,00:00:22:00,00:00:24:00,22.00,2.00,청문회가 끝난 지,"화면 전환, 그래픽 준비",img-2-stat-card.png
15,00:00:24:00,00:00:25:00,24.00,1.00,단 이틀 만입니다,큰 숫자: 청문회 종료 후 채택까지 기간 / 2일 / 인사청문회 마무리 이틀 만 / 출처: 동아일보,
16,00:00:25:00,00:00:27:00,25.00,2.00,국민의힘 박형수 의원은,"국회 본관 앞 계단 스톡 영상, 하단 자막 '박형수 국민의힘 의원'",img-3-poll-chart.png
17,00:00:27:00,00:00:30:00,27.00,3.00,청문회 자체가 요식 행위였다는 걸,자막 카드로 발언 인용 표시,img-stat-card.png
18,00:00:30:00,00:00:32:00,30.00,2.00,증명한다고 말했습니다,동일 자막 카드 유지,img-0-cover.png
19,00:00:32:00,00:00:34:00,32.00,2.00,인사청문경과보고서는,자막 카드: '인사청문경과보고서란?',img-2-stat-card.png
20,00:00:34:00,00:00:36:00,34.00,2.00,국회가 후보자를 검증한 뒤,동일 카드 유지,img-3-poll-chart.png
21,00:00:36:00,00:00:38:00,36.00,2.00,내는 공식 보고서인데,동일 카드 유지,img-stat-card.png
22,00:00:38:00,00:00:39:00,38.00,1.00,채택되면 대통령이,흐름 그래픽 준비,img-0-cover.png
23,00:00:39:00,00:00:41:00,39.00,2.00,임명을 강행할 수 있는,흐름: 임명 절차 / 청문회 > 보고서 채택 > 대통령 임명 결정,
24,00:00:41:00,00:00:43:00,41.00,2.00,요건이 갖춰집니다,동일 흐름 유지,
25,00:00:43:00,00:00:45:00,43.00,2.00,국민의힘은 오는 22일,국회 본관 앞 계단 스톡 영상,
26,00:00:45:00,00:00:47:00,45.00,2.00,국회 앞 집회를 예고했고,동일 화면 + 자막 카드 '9월22일 집회 예고',img-2-stat-card.png
27,00:00:47:00,00:00:50:00,47.00,3.00,여야 대치는 이어질 전망입니다,국회의사당 야경 스톡 영상,
28,00:00:50:00,00:00:51:00,50.00,1.00,임명 여부는,청와대 외경 스톡 영상,
29,00:00:51:00,00:00:53:00,51.00,2.00,이제 대통령실의 결정에,동일 화면 유지,
30,00:00:53:00,00:00:58:00,53.00,5.00,달려 있습니다,"동일 화면, 마무리 자막 '다음은 임명 여부'",img-3-poll-chart.png
